Frequency,FFT2-7Q,FFT2-10Q,FFT2-12Q,FFT2-14Q,FFT2-17Q,FFT2-20Q,FFT2-23Q,FFT2-26Q,FFT2-29Q,FFT4-10Q,FFT4-14Q,FFT4-15.5Q,FFT4-17Q,FFT4-20Q,FFT4-23Q,FFT4-26Q,FFT4-29Q,FFT8-14Q,FFT8-17Q,FFT8-20Q,FFT8-23Q,FFT8-26Q,FFT8-29Q
883.25,-3.4016,-2.3196,-2.0196,-1.4155,-1.3103,-1.1155,-1.0151,-1.0153,-0.9209,-4.1,-2.4269,-2.1209,-1.6153,-1.3102,-1.1102,-1.0129,-1.1129,-4.1,-2.4,-1.8,-1.5153,-1.2102,-1.015
889.25,-3.4032,-2.3305,-2.0305,-1.4234,-1.3148,-1.1234,-1.0225,-1.0229,-0.93019,-4.1,-2.4398,-2.1302,-1.6229,-1.3146,-1.1146,-1.0182,-1.118,-4.1,-2.4,-1.8,-1.5229,-1.2146,-1.0222
895.25,-3.4055,-2.3425,-2.0425,-1.4316,-1.3192,-1.1316,-1.0302,-1.0308,-0.93938,-4.1,-2.4531,-2.1394,-1.6308,-1.3188,-1.1188,-1.0231,-1.1228,-4.1,-2.4,-1.8,-1.5308,-1.2188,-1.0297
901.25,-3.4082,-2.3556,-2.0556,-1.4402,-1.3235,-1.1402,-1.0382,-1.0391,-0.9485,-4.1,-2.4667,-2.1485,-1.6391,-1.323,-1.123,-1.0277,-1.1273,-4.1,-2.4,-1.8,-1.5391,-1.223,-1.0375
907.25,-3.4115,-2.3694,-2.0694,-1.4492,-1.3278,-1.1492,-1.0465,-1.0476,-0.95756,-4.1,-2.4807,-2.1576,-1.6476,-1.3271,-1.1271,-1.032,-1.1316,-4.1,-2.4,-1.8,-1.5476,-1.2271,-1.0456
913.25,-3.4152,-2.384,-2.084,-1.4584,-1.332,-1.1584,-1.055,-1.0565,-0.96656,-4.1,-2.4949,-2.1666,-1.6565,-1.3312,-1.1312,-1.0362,-1.1356,-4.1,-2.4,-1.8,-1.5565,-1.2312,-1.0539
919.25,-3.4194,-2.3993,-2.0993,-1.4679,-1.3362,-1.1679,-1.0638,-1.0656,-0.97553,-4.1,-2.5093,-2.1755,-1.6656,-1.3352,-1.1352,-1.0401,-1.1395,-4.1,-2.4,-1.8,-1.5656,-1.2352,-1.0625
925.25,-3.4239,-2.4149,-2.1149,-1.4776,-1.3404,-1.1776,-1.0729,-1.0749,-0.98448,-4.1,-2.5239,-2.1845,-1.6749,-1.3393,-1.1393,-1.044,-1.1432,-4.1,-2.4,-1.8,-1.5749,-1.2393,-1.0713
931.25,-3.4288,-2.431,-2.131,-1.4875,-1.3447,-1.1875,-1.0822,-1.0844,-0.99342,-4.1,-2.5386,-2.1934,-1.6844,-1.3434,-1.1434,-1.0478,-1.1469,-4.1,-2.4,-1.8,-1.5844,-1.2434,-1.0804
937.25,-3.434,-2.4473,-2.1473,-1.4976,-1.349,-1.1976,-1.0916,-1.0942,-1.0024,-4.1,-2.5534,-2.2024,-1.6942,-1.3475,-1.1475,-1.0516,-1.1506,-4.1,-2.4,-1.8,-1.5942,-1.2475,-1.0897
943.25,-3.4395,-2.4636,-2.1636,-1.5077,-1.3533,-1.2077,-1.1013,-1.104,-1.0113,-4.1,-2.5682,-2.2113,-1.704,-1.3518,-1.1518,-1.0554,-1.1543,-4.1,-2.4,-1.8,-1.604,-1.2518,-1.0992
949.25,-3.4453,-2.48,-2.18,-1.5178,-1.3577,-1.2178,-1.1112,-1.114,-1.0204,-4.1,-2.5829,-2.2204,-1.714,-1.3561,-1.1561,-1.0592,-1.1581,-4.1,-2.4,-1.8,-1.614,-1.2561,-1.109
955.25,-3.4513,-2.4962,-2.1962,-1.528,-1.3621,-1.228,-1.1212,-1.1241,-1.0294,-4.1,-2.5976,-2.2294,-1.7241,-1.3605,-1.1605,-1.0631,-1.162,-4.1,-2.4,-1.8,-1.6241,-1.2605,-1.119
961.25,-3.4575,-2.5122,-2.2122,-1.5381,-1.3667,-1.2381,-1.1314,-1.1343,-1.0385,-4.1,-2.6122,-2.2385,-1.7343,-1.3651,-1.1651,-1.0672,-1.1661,-4.1,-2.4,-1.8,-1.6343,-1.2651,-1.1292
967.25,-3.4639,-2.5277,-2.2277,-1.5482,-1.3714,-1.2482,-1.1418,-1.1445,-1.0477,-4.1,-2.6266,-2.2477,-1.7445,-1.3699,-1.1699,-1.0715,-1.1704,-4.1,-2.4,-1.8,-1.6445,-1.2699,-1.1396
973.25,-3.4704,-2.5427,-2.2427,-1.5582,-1.3763,-1.2582,-1.1522,-1.1548,-1.057,-4.1,-2.6407,-2.257,-1.7548,-1.3749,-1.1749,-1.076,-1.175,-4.1,-2.4,-1.8,-1.6548,-1.2749,-1.1503
979.25,-3.477,-2.5571,-2.2571,-1.5679,-1.3813,-1.2679,-1.1628,-1.165,-1.0664,-4.1,-2.6546,-2.2664,-1.765,-1.38,-1.18,-1.0808,-1.1799,-4.1,-2.4,-1.8,-1.665,-1.28,-1.1611
985.25,-3.4836,-2.5707,-2.2707,-1.5775,-1.3864,-1.2775,-1.1735,-1.1752,-1.076,-4.1,-2.6682,-2.276,-1.7752,-1.3855,-1.1855,-1.0859,-1.1852,-4.1,-2.4,-1.8,-1.6752,-1.2855,-1.1721
991.25,-3.4903,-2.5834,-2.2834,-1.5869,-1.3918,-1.2869,-1.1842,-1.1853,-1.0856,-4.1,-2.6815,-2.2856,-1.7853,-1.3912,-1.1912,-1.0913,-1.1909,-4.1,-2.4,-1.8,-1.6853,-1.2912,-1.1833
997.25,-3.497,-2.595,-2.295,-1.596,-1.3974,-1.296,-1.195,-1.1954,-1.0954,-4.1,-2.6943,-2.2954,-1.7954,-1.3972,-1.1972,-1.0972,-1.197,-4.1,-2.4,-1.8,-1.6954,-1.2972,-1.1947
1000,-3.5,-2.6,-2.3,-1.6,-1.4,-1.3,-1.2,-1.2,-1.1,-4.1,-2.7,-2.3,-1.8,-1.4,-1.2,-1.1,-1.2,-4.1,-2.4,-1.8,-1.7,-1.3,-1.2
