Frequency,CE-120-0,CE-120-1,CE-120-2,CE-120-3,CE-120-4,CE-120-5,CE-120-6,CE-120-7,CE-120-8,CE-120-9,CE-120-10,CE-120-11,CE-120-12,CE-120-13,CE-120-14,CE-120-15,CE-120-16,CE-120-17,CE-120-18,CE-120-19,CE-120-20,CS-120-1,CS-120-2,CS-120-3,CS-120-4,CS-120-5,CS-120-6,CS-120-7,CS-120-8,CS-120-9,CS-120-10,LEQ1218-0,LEQ1218-1,LEQ1218-2,LEQ1218-3,LEQ1218-4,LEQ1218-5,LEQ1218-6,LEQ1218-7,LEQ1218-8,LEQ1218-9,LEQ1218-10,LEQ1218-11,LEQ1218-12,LEQ1218-13,LEQ1218-14,LEQ1218-15,LEQ1218-16,LEQ1218-17,LEQ1218-18,LEQ1218-19,LEQ1218-20
877.25,0,-0.89398,-1.0928,-1.3858,-1.5797,-1.7771,-1.9714,-2.1655,-2.3634,-2.6568,-2.8509,-3.045,-3.2428,-3.4369,-3.631,-3.928,-4.1223,-4.3164,-4.514,-4.7083,-4.9025,-1.506,-2.3072,-3.0142,-3.8203,-4.6229,-5.4286,-6.2345,-7.0366,-7.7432,-8.5491,0,-0.89274055,-1.1854811,-1.478221649,-1.770962199,-2.063702749,-2.356443299,-2.649183849,-2.941924399,-3.234664948,-3.527405498,-3.820146048,-4.112886598,-4.405627148,-4.698367698,-4.991108247,-5.283848797,-5.576589347,-5.869329897,-6.162070447,-6.454810997
883.25,0,-0.88866,-1.0873,-1.3735,-1.5623,-1.7583,-1.948,-2.1371,-2.3339,-2.621,-2.81,-2.999,-3.196,-3.3851,-3.5742,-3.8683,-4.058,-4.247,-4.4434,-4.6332,-4.8223,-1.5113,-2.3127,-3.0265,-3.8377,-4.6417,-5.452,-6.2629,-7.0661,-7.779,-8.59,0,-0.887585911,-1.175171821,-1.462757732,-1.750343643,-2.037929553,-2.325515464,-2.613101375,-2.900687285,-3.188273196,-3.475859107,-3.763445017,-4.051030928,-4.338616838,-4.626202749,-4.91378866,-5.20137457,-5.488960481,-5.776546392,-6.064132302,-6.351718213
889.25,0,-0.88308,-1.0822,-1.3609,-1.5443,-1.7396,-1.9249,-2.1088,-2.3051,-2.5851,-2.7689,-2.9527,-3.1497,-3.3337,-3.5176,-3.8085,-3.9937,-4.1776,-4.3733,-4.5586,-4.7425,-1.5169,-2.3178,-3.0391,-3.8557,-4.6604,-5.4751,-6.2912,-7.0949,-7.8149,-8.6311,0,-0.882431271,-1.164862543,-1.447293814,-1.729725086,-2.012156357,-2.294587629,-2.5770189,-2.859450172,-3.141881443,-3.424312715,-3.706743986,-3.989175258,-4.271606529,-4.554037801,-4.836469072,-5.118900344,-5.401331615,-5.683762887,-5.966194158,-6.24862543
895.25,0,-0.87731,-1.0775,-1.348,-1.526,-1.7211,-1.9019,-2.0806,-2.2768,-2.549,-2.7276,-2.9061,-3.1038,-3.2826,-3.4612,-3.7487,-3.9295,-4.1081,-4.3037,-4.4845,-4.6632,-1.5227,-2.3225,-3.052,-3.874,-4.6789,-5.4981,-6.3194,-7.1232,-7.851,-8.6724,0,-0.877276632,-1.154553265,-1.431829897,-1.709106529,-1.986383162,-2.263659794,-2.540936426,-2.818213058,-3.095489691,-3.372766323,-3.650042955,-3.927319588,-4.20459622,-4.481872852,-4.759149485,-5.036426117,-5.313702749,-5.590979381,-5.868256014,-6.145532646
901.25,0,-0.87138,-1.0731,-1.3347,-1.5072,-1.7027,-1.8791,-2.0525,-2.2491,-2.5129,-2.6862,-2.8592,-3.0583,-3.2317,-3.405,-3.6888,-3.8653,-4.0385,-4.2345,-4.4109,-4.5843,-1.5286,-2.3269,-3.0653,-3.8928,-4.6973,-5.5209,-6.3475,-7.1509,-7.8871,-8.7138,0,-0.872121993,-1.144243986,-1.416365979,-1.688487973,-1.960609966,-2.232731959,-2.504853952,-2.776975945,-3.049097938,-3.321219931,-3.593341924,-3.865463918,-4.137585911,-4.409707904,-4.681829897,-4.95395189,-5.226073883,-5.498195876,-5.770317869,-6.042439863
907.25,0,-0.86536,-1.069,-1.3212,-1.4881,-1.6844,-1.8565,-2.0245,-2.2217,-2.4767,-2.6446,-2.8122,-3.013,-3.1812,-3.3491,-3.629,-3.8011,-3.969,-4.1656,-4.3377,-4.5057,-1.5346,-2.331,-3.0788,-3.9119,-4.7156,-5.5435,-6.3755,-7.1783,-7.9233,-8.7554,0,-0.866967354,-1.133934708,-1.400902062,-1.667869416,-1.93483677,-2.201804124,-2.468771478,-2.735738832,-3.002706186,-3.26967354,-3.536640893,-3.803608247,-4.070575601,-4.337542955,-4.604510309,-4.871477663,-5.138445017,-5.405412371,-5.672379725,-5.939347079
913.25,0,-0.8593,-1.0651,-1.3074,-1.4688,-1.6662,-1.834,-1.9967,-2.1948,-2.4405,-2.603,-2.7651,-2.968,-3.1308,-3.2933,-3.5691,-3.737,-3.8995,-4.0971,-4.2649,-4.4276,-1.5407,-2.3349,-3.0926,-3.9312,-4.7338,-5.566,-6.4033,-7.2052,-7.9595,-8.797,0,-0.861812715,-1.12362543,-1.385438144,-1.647250859,-1.909063574,-2.170876289,-2.432689003,-2.694501718,-2.956314433,-3.218127148,-3.479939863,-3.741752577,-4.003565292,-4.265378007,-4.527190722,-4.789003436,-5.050816151,-5.312628866,-5.574441581,-5.836254296
919.25,0,-0.85325,-1.0614,-1.2935,-1.4494,-1.6481,-1.8116,-1.9689,-2.1682,-2.4042,-2.5613,-2.718,-2.9232,-3.0807,-3.2379,-3.5093,-3.673,-3.83,-4.0288,-4.1924,-4.3497,-1.5467,-2.3386,-3.1065,-3.9506,-4.7519,-5.5884,-6.4311,-7.2318,-7.9958,-8.8387,0,-0.856658076,-1.113316151,-1.369974227,-1.626632302,-1.883290378,-2.139948454,-2.396606529,-2.653264605,-2.90992268,-3.166580756,-3.423238832,-3.679896907,-3.936554983,-4.193213058,-4.449871134,-4.70652921,-4.963187285,-5.219845361,-5.476503436,-5.733161512
925.25,0,-0.84727,-1.0577,-1.2793,-1.4298,-1.6301,-1.7893,-1.9413,-2.1419,-2.3678,-2.5196,-2.6709,-2.8786,-3.0308,-3.1826,-3.4496,-3.609,-3.7607,-3.9609,-4.1202,-4.2722,-1.5527,-2.3423,-3.1207,-3.9702,-4.7699,-5.6107,-6.4587,-7.2581,-8.0322,-8.8804,0,-0.851503436,-1.103006873,-1.354510309,-1.606013746,-1.857517182,-2.109020619,-2.360524055,-2.612027491,-2.863530928,-3.115034364,-3.366537801,-3.618041237,-3.869544674,-4.12104811,-4.372551546,-4.624054983,-4.875558419,-5.127061856,-5.378565292,-5.630068729
931.25,0,-0.84141,-1.0542,-1.2651,-1.4102,-1.6121,-1.767,-1.9138,-2.1157,-2.3313,-2.4779,-2.6239,-2.8341,-2.9811,-3.1276,-3.3899,-3.5451,-3.6916,-3.8932,-4.0482,-4.195,-1.5586,-2.3458,-3.1349,-3.9898,-4.7879,-5.633,-6.4862,-7.2843,-8.0687,-8.9221,0,-0.846348797,-1.092697595,-1.339046392,-1.585395189,-1.831743986,-2.078092784,-2.324441581,-2.570790378,-2.817139175,-3.063487973,-3.30983677,-3.556185567,-3.802534364,-4.048883162,-4.295231959,-4.541580756,-4.787929553,-5.034278351,-5.280627148,-5.526975945
